[04:49:48] [INFO] changed log level from 'warning, error' to 'info, warning, error'
[04:49:49] [INFO] successfully created user with id '1'
[04:49:50] [INFO] successfully created channel with id '1'
[04:49:50] [INFO] successfully created channel with id '2'
[04:49:50] [INFO] successfully created channel with id '3'
[04:49:50] [INFO] successfully created channel with id '4'
[04:49:50] [INFO] successfully created channel with id '5'
[04:49:50] [INFO] successfully created channel with id '6'
[04:49:50] [INFO] successfully created channel with id '7'
[04:49:50] [INFO] successfully created channel with id '8'
[04:49:50] [INFO] successfully created channel with id '9'
[04:49:50] [INFO] successfully created channel with id '10'
[04:49:50] [INFO] successfully created channel with id '11'
[04:49:50] [INFO] successfully created channel with id '12'
[04:49:50] [INFO] successfully created channel with id '13'
[04:49:50] [INFO] successfully created channel with id '14'
[04:49:50] [INFO] successfully created channel with id '15'
[04:49:50] [INFO] successfully created channel with id '16'
[04:49:50] [INFO] successfully created channel with id '17'
[04:49:50] [INFO] successfully created channel with id '18'
[04:49:50] [INFO] successfully created channel with id '19'
[04:49:50] [INFO] successfully created channel with id '20'
[04:49:50] [INFO] successfully created channel with id '21'
[04:49:50] [INFO] successfully created channel with id '22'
[04:49:50] [INFO] successfully created channel with id '23'
[04:49:50] [INFO] successfully created channel with id '24'
[04:49:50] [INFO] successfully created channel with id '25'
[04:49:50] [INFO] successfully created channel with id '26'
[04:49:50] [INFO] successfully created channel with id '27'
[04:49:50] [INFO] successfully created channel with id '28'
[04:49:50] [INFO] successfully created channel with id '29'
[04:49:50] [INFO] successfully created channel with id '30'
[04:49:50] [INFO] successfully created channel with id '31'
[04:49:50] [INFO] successfully created channel with id '32'
[04:49:50] [INFO] successfully created channel with id '33'
[04:49:50] [INFO] successfully created channel with id '34'
[04:49:50] [INFO] successfully created channel with id '35'
[04:49:50] [INFO] successfully created channel with id '36'
[04:49:50] [INFO] successfully created channel with id '37'
[04:49:50] [INFO] successfully created channel with id '38'
[04:49:50] [INFO] successfully created channel with id '39'
[04:49:50] [INFO] successfully created channel with id '40'
[04:49:50] [INFO] successfully created channel with id '41'
[04:49:50] [INFO] successfully created channel with id '42'
[04:49:50] [INFO] successfully created channel with id '43'
[04:49:50] [INFO] successfully created channel with id '44'
[04:49:50] [INFO] successfully created channel with id '45'
[04:49:50] [INFO] successfully created channel with id '46'
[04:49:50] [INFO] successfully created channel with id '47'
[04:49:50] [INFO] successfully created channel with id '48'
[04:49:50] [INFO] successfully created channel with id '49'
[04:49:50] [INFO] successfully created channel with id '50'
[04:49:50] [INFO] successfully created channel with id '51'
[04:49:50] [INFO] successfully created channel with id '52'
[04:49:50] [INFO] successfully created channel with id '53'
[04:49:50] [INFO] successfully created channel with id '54'
[04:49:50] [INFO] successfully created channel with id '55'
[04:49:50] [INFO] successfully created channel with id '56'
[04:49:50] [INFO] successfully created channel with id '57'
[04:49:50] [INFO] successfully created channel with id '58'
[04:49:50] [INFO] successfully created channel with id '59'
[04:49:50] [INFO] successfully created channel with id '60'
[04:49:50] [INFO] successfully created channel with id '61'
[04:49:50] [INFO] successfully created channel with id '62'
[04:49:50] [INFO] successfully created channel with id '63'
[04:49:50] [INFO] successfully created channel with id '64'
[04:49:50] [INFO] successfully created channel with id '65'
[04:49:50] [INFO] successfully created channel with id '66'
[04:49:50] [INFO] successfully created channel with id '67'
[04:49:50] [INFO] successfully created channel with id '68'
[04:49:50] [INFO] successfully created channel with id '69'
[04:49:50] [INFO] successfully created channel with id '70'
[04:49:50] [INFO] successfully created channel with id '71'
[04:49:50] [INFO] successfully created channel with id '72'
[04:49:50] [INFO] successfully created channel with id '73'
[04:49:50] [INFO] successfully created channel with id '74'
[04:49:50] [INFO] successfully created channel with id '75'
[04:49:50] [INFO] successfully created channel with id '76'
[04:49:50] [INFO] successfully created channel with id '77'
[04:49:50] [INFO] successfully created channel with id '78'
[04:49:50] [INFO] successfully created channel with id '79'
[04:49:50] [INFO] successfully created channel with id '80'
[04:49:50] [INFO] successfully created channel with id '81'
[04:49:50] [INFO] successfully created channel with id '82'
[04:49:50] [INFO] successfully created channel with id '83'
[04:49:50] [INFO] successfully created channel with id '84'
[04:49:50] [INFO] successfully created channel with id '85'
[04:49:50] [INFO] successfully created channel with id '86'
[04:49:50] [INFO] successfully created channel with id '87'
[04:49:50] [INFO] successfully created channel with id '88'
[04:49:50] [INFO] successfully created channel with id '89'
[04:49:50] [INFO] successfully created channel with id '90'
[04:49:50] [INFO] successfully created channel with id '91'
[04:49:50] [INFO] successfully created channel with id '92'
[04:49:50] [INFO] successfully created channel with id '93'
[04:49:50] [INFO] successfully created channel with id '94'
[04:49:50] [INFO] successfully created channel with id '95'
[04:49:50] [INFO] successfully created channel with id '96'
[04:49:50] [INFO] successfully created channel with id '97'
[04:49:50] [INFO] successfully created channel with id '98'
[04:49:50] [INFO] successfully created channel with id '99'
[04:49:50] [INFO] successfully created channel with id '100'
[04:49:50] [INFO] successfully created channel with id '101'
